Gender,University_Tier,Years_Experience,Interview_Score,Hired
0,2,1,37.415977228970675,0
1,2,2,53.49986070529332,0
1,3,6,64.40091538440933,0
1,2,1,54.54381665524652,0
0,3,8,42.203587232362636,0
0,1,5,56.15244881823764,0
0,3,5,43.20478637052032,0
1,3,4,46.936296925625975,0
1,1,7,72.24273373816499,1
1,2,7,64.2113153248249,0
0,1,6,67.82692384511931,0
1,3,7,55.46628409178823,0
1,2,4,66.70691827643353,0
0,2,7,66.9038608121483,0
0,1,4,61.60707638121642,0
0,2,5,48.57663912264144,0
0,1,4,63.48708671532156,0
1,2,4,56.70156568279466,0
1,2,3,51.839647661336016,0
0,3,6,36.80267992032372,0
1,2,9,62.32201367237238,0
0,2,9,56.597481466093306,0
0,3,1,29.768380568658976,0
0,3,9,36.18787445625513,0
1,3,4,55.224291102991614,0
1,2,7,63.80869358767922,0
0,2,2,47.09397689664986,0
1,1,5,66.86561198545505,0
1,3,6,49.606632018448515,0
0,1,1,45.85161679635009,0
1,2,7,60.40263807831031,0
0,2,9,52.804153195465034,0
0,2,4,51.09182349068399,0
1,2,9,67.95564533855213,0
1,1,4,68.66844249049254,0
1,2,8,59.375834721486825,0
0,2,0,40.59493505953765,0
0,3,12,58.07797960250958,0
1,3,9,52.90882944284402,0
1,3,4,59.61308920630386,0
0,3,0,33.207879990577105,0
1,2,6,63.96022251934253,0
0,1,1,52.675519437857886,0
1,2,6,68.37623506460986,0
0,2,6,46.02542286287243,0
1,2,2,58.16046009186973,0
0,2,8,56.140382085011,0
1,2,7,59.12916285913889,0
1,2,8,75.91686799711287,1
0,2,5,49.73229819872614,0
1,1,1,60.26946305135512,0
1,3,8,53.36439602332122,0
1,1,4,73.58865001504282,1
1,1,1,50.87721529887455,0
1,2,9,73.12443216382965,1
1,2,11,67.02614141034152,0
0,2,5,46.85561666067698,0
0,2,11,61.91882742454663,0
0,2,5,52.5506926242913,0
0,2,4,38.21752502273715,0
0,3,3,41.87891173956258,0
0,3,10,57.519033324975446,0
1,2,3,51.31023295577554,0
0,2,7,59.477267605060725,0
0,3,3,32.26240125201849,0
1,1,4,59.876137086111925,0
0,2,8,56.869043948260185,0
1,2,4,53.73216857648697,0
0,3,4,40.33638509824848,0
1,1,8,72.20538039401647,1
1,2,10,69.0646286503864,0
0,3,7,50.916856465023116,0
0,2,3,44.0405649936712,0
1,1,3,62.15770534406903,0
1,3,5,60.732359387439516,0
1,2,6,65.9534310501292,0
1,2,2,57.930086454071045,0
0,2,7,47.781458168913616,0
0,2,5,50.25936229319771,0
0,2,0,33.282730927063824,0
1,1,2,52.59292510110987,0
1,1,3,60.64146826857516,0
0,3,5,37.211232675715074,0
0,2,11,63.59775120547418,0
0,1,6,71.07267729847662,1
0,2,2,33.769490297171714,0
1,3,6,52.85848730211555,0
1,1,4,55.701066640410005,0
1,2,6,59.686853617035545,0
